Business,Address,Google Maps,Yelp (unrated = 0),Street,Ward,ZIP Code
Taqueria la Zeta,3050 E 36th St,4.5,5.0,36th,5,85713
Twisted Indian,1999 E Ajo Way,4.8,4.5,Ajo,5,85713
Axis Food Mart,1540 E Broadway Blvd,4.5,3.9,Broadway,5,85719
Valencia Market,330 W 29th St,4.4,0,29th,5,85713
Jerry's Market,805 E 36th St,4.1,0,36th,5,85713
Beef Master Meat Market,527 W 29th St,4.4,4.1,29th,5,85713
Henry's Market,3051 E 36th St,4.4,3.8,36th,5,85713
Sonora Market,3050 E 36th St,4.5,4.3,36th,5,85713
Park Deli and Liquor,3780 S Park Ave,3.9,3.6,Park,5,85713
Super Carniceria Mi Ranchito,5301 S Park Ave,4.3,0,Park,5,85706
Grand Market,6250 S 6th Ave,4.1,0,6th,5,85706
Villa's Market,6221 S Campbell Ave,4.6,4.1,Campbell,5,85706
Chihuahua Market,4870 S 12th Ave,3.7,0,12th,5,85714
Qn Market,5242 S 12th Ave,4.3,0,12th,5,85706
Mexico Lindo,50 W Valencia Rd,4.4,2.9,Valencia,5,85706
Sushi-Cho Restaurant,1830 E Broadway Blvd,4.5,3.9,Broadway,5,85719
Trader Joes,"4766 E Grant Rd, Tucson, AZ 85712",4.6,4.3,E Grant Rd,6,85712
Starbucks,"4702 E Grant Rd, Tucson, AZ 85712",4.2,2.9,E Grant Rd,6,85712
Walgreens,"4685 E Grant Rd, Tucson, AZ 85712",2.9,2.1,E Grant Rd,6,85712
Filiberto's Mexican Food,"4011 E Grant Rd, Tucson, AZ 85712",3.9,2.8,E Grant Rd,6,85712
Moon Smoke Ship,"2351 N Alvernon Way APT 151, Tucson, AZ 85712",4.6,3.7,N Alvernon Way,6,85712
Chevron,"1711 N Alvernon Way, Tucson, AZ 85712",4.1,0,N Alvernon Way,6,85712
Nail Zone,"3955 E Speedway Blvd suite 103, Tucson, AZ 85712",4.6,4.5,E Speedway Blvd,6,85712
Tucson Fast Local Plumbers Corp,"3333 E Speedway Blvd #1200, Tucson, AZ 85716",4.8,0,E Speedway Blvd,6,85716
McDonald's,"1711 E Speedway Blvd, Tucson, AZ 85719",3.5,1.6,E Speedway Blvd,6,85719
Mojo Cuban Kitchen and Rum Bar,"1929 E Grant Rd, Tucson, AZ 85719",4.6,4.5,E Grant Rd,6,85719
Choice Greens,"2829 E Speedway Blvd, Tucson, AZ 85716",4.5,4,E Speedway Blvd,6,85716
The UPS Store,"1830 E Broadway Blvd #124, Tucson, AZ 85719",4.3,4.5,E Broadway Blvd,6,85719
Del Taco,"840 E Broadway Blvd, Tucson, AZ 85719",3.9,2.5,E Broadway Blvd,6,85719
In-N-Out,"3711 E Broadway Blvd, Tucson, AZ 85716",4.5,3.9,E Broadway Blvd,6,85716
Crave Coffee Bar,"4530 E Broadway Blvd, Tucson, AZ 85711",4.6,4.6,E Broadway Blvd,6,85711
Planet Fitness,"4722 E Broadway Blvd, Tucson, AZ 85711",4.5,3.3,E Broadway Blvd,6,85711
Olive Garden,"5410 E Broadway Blvd, Tucson, AZ 85711",4.3,3.3,E Broadway Blvd,6,85711
